mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__kernel,param_tfidf__max_df,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision
66.86152667999268,11.490114987579418,1.7828997135162354,0.43852857937733525,0.01,balanced,linear,0.85,5000,1,"(1, 2)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 2)}",0.6078431372549019,0.6666666666666666,0.574468085106383,0.5306122448979592,0.62,0.5999180267851821,0.04554660225448133,565,0.6751918158567775,0.6706586826347305,0.6963350785340314,0.6966292134831461,0.6804123711340206,0.6838454323285411,0.010770122354365972,0.7948717948717948,0.6923076923076923,0.6923076923076923,0.6666666666666666,0.8157894736842105,0.7323886639676114,0.06065012154415779,170,0.8516129032258064,0.7225806451612903,0.8580645161290322,0.8,0.8461538461538461,0.815682382133995,0.050851997569705785,0.49206349206349204,0.6428571428571429,0.4909090909090909,0.4406779661016949,0.5,0.5133015383862841,0.06810028654896287,445,0.559322033898305,0.6256983240223464,0.5859030837004405,0.6169154228855721,0.5689655172413793,0.5913608763496087,0.026038134330800433
67.20165538787842,11.637145919988582,1.4585718154907226,0.26203313822548535,0.01,balanced,linear,0.85,5000,1,"(1, 3)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 1, 'tfidf__ngram_range': (1, 3)}",0.6296296296296297,0.6829268292682927,0.5894736842105263,0.5473684210526316,0.6274509803921569,0.6153699089106474,0.04518417027224685,301,0.655421686746988,0.686046511627907,0.6963350785340314,0.702247191011236,0.6770025839793282,0.6834106103798981,0.016451439273307555,0.8717948717948718,0.717948717948718,0.717948717948718,0.6666666666666666,0.8421052631578947,0.7632928475033738,0.07928793745568194,149,0.8774193548387097,0.7612903225806451,0.8580645161290322,0.8064516129032258,0.8397435897435898,0.8285938792390404,0.0409800201267078,0.4927536231884058,0.6511627906976745,0.5,0.4642857142857143,0.5,0.5216404256343589,0.06608580689422668,429,0.5230769230769231,0.6243386243386243,0.5859030837004405,0.6218905472636815,0.5670995670995671,0.5844617490958474,0.03758377252460008
63.276417922973636,11.103889222052858,1.5546086311340332,0.3908711435733704,0.01,balanced,linear,0.85,5000,2,"(1, 2)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 2)}",0.6078431372549019,0.6585365853658537,0.5894736842105263,0.5416666666666666,0.6326530612244898,0.6060346269444876,0.039713389494489666,498,0.6751269035532995,0.6784660766961652,0.7012987012987013,0.6968838526912181,0.6839378238341969,0.6871426716147162,0.010249066454675295,0.7948717948717948,0.6923076923076923,0.717948717948718,0.6666666666666666,0.8157894736842105,0.7375168690958165,0.05807361109703122,169,0.8580645161290322,0.7419354838709677,0.8709677419354839,0.7935483870967742,0.8461538461538461,0.8221339950372208,0.04796171098767455,0.49206349206349204,0.627906976744186,0.5,0.45614035087719296,0.5166666666666667,0.5185554972703075,0.058143094280018466,430,0.5564853556485355,0.625,0.5869565217391305,0.6212121212121212,0.5739130434782609,0.5927134084156096,0.02665958702032911
66.25286111831664,10.864479291252346,1.4894591331481934,0.28678147158270917,0.01,balanced,linear,0.85,5000,2,"(1, 3)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 2, 'tfidf__ngram_range': (1, 3)}",0.6238532110091743,0.691358024691358,0.5714285714285714,0.5252525252525253,0.6336633663366337,0.6091111397436525,0.05663379513799894,451,0.6540284360189573,0.6857142857142857,0.6989795918367347,0.6961325966850829,0.680628272251309,0.6830966365012741,0.016000685715650644,0.8717948717948718,0.717948717948718,0.717948717948718,0.6666666666666666,0.8421052631578947,0.7632928475033738,0.07928793745568194,149,0.8903225806451613,0.7741935483870968,0.8838709677419355,0.8129032258064516,0.8333333333333334,0.8389247311827956,0.043727363534241184,0.4857142857142857,0.6666666666666666,0.4745762711864407,0.43333333333333335,0.5079365079365079,0.5136454129674469,0.08025543162257132,441,0.5168539325842697,0.6153846153846154,0.5780590717299579,0.6086956521739131,0.5752212389380531,0.5788429021621619,0.034879353986220274
64.3571584701538,12.592845247792594,1.4413561820983887,0.31503999555344275,0.01,balanced,linear,0.85,5000,3,"(1, 2)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.6078431372549019,0.675,0.5684210526315789,0.5625,0.6470588235294118,0.6121646026831785,0.04373703190357364,379,0.6751269035532995,0.6744868035190615,0.6940874035989717,0.6929577464788732,0.6683417085427136,0.681000113138584,0.010501572897814362,0.7948717948717948,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.868421052631579,0.7480431848852902,0.07211530372259908,164,0.8580645161290322,0.7419354838709677,0.8709677419354839,0.7935483870967742,0.8525641025641025,0.8234160463192721,0.04866713166667992,0.49206349206349204,0.6585365853658537,0.48214285714285715,0.47368421052631576,0.515625,0.5244104290197037,0.06851719606741738,425,0.5564853556485355,0.6182795698924731,0.5769230769230769,0.615,0.5495867768595041,0.583254955864718,0.028721844923810816
58.48821678161621,0.15913732488632878,1.2945698261260987,0.05083675686580124,0.01,balanced,linear,0.85,5000,3,"(1, 3)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 3)}",0.6181818181818182,0.6829268292682927,0.5773195876288659,0.5416666666666666,0.6262626262626263,0.609271505601654,0.04771695268056129,446,0.6540284360189573,0.6858789625360231,0.690537084398977,0.6983240223463687,0.6822916666666666,0.6822120343933985,0.01507760282024938,0.8717948717948718,0.717948717948718,0.717948717948718,0.6666666666666666,0.8157894736842105,0.758029689608637,0.07461753128297069,157,0.8903225806451613,0.7677419354838709,0.8709677419354839,0.8064516129032258,0.8397435897435898,0.8350454921422663,0.044080415908748956,0.4788732394366197,0.6511627906976745,0.4827586206896552,0.45614035087719296,0.5081967213114754,0.5154263446025236,0.06984953684368884,434,0.5168539325842697,0.6197916666666666,0.5720338983050848,0.6157635467980296,0.5745614035087719,0.5798008895725645,0.03726304531021177
56.01203832626343,0.4870655008863224,1.2432603359222412,0.04162601886511627,0.01,balanced,linear,0.85,5000,5,"(1, 2)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.5882352941176471,0.6666666666666666,0.5773195876288659,0.54,0.64,0.602444309682636,0.04531529676642151,521,0.6650124069478908,0.6705202312138728,0.6923076923076923,0.6868131868131868,0.6683673469387755,0.6766041728442836,0.010863269978340653,0.7692307692307693,0.6923076923076923,0.717948717948718,0.6923076923076923,0.8421052631578947,0.7427800269905533,0.057055501663143916,165,0.864516129032258,0.7483870967741936,0.8709677419354839,0.8064516129032258,0.8397435897435898,0.8260132340777501,0.044945250202809164,0.47619047619047616,0.6428571428571429,0.4827586206896552,0.4426229508196721,0.5161290322580645,0.5121116445630022,0.06941344773743277,449,0.5403225806451613,0.6073298429319371,0.574468085106383,0.5980861244019139,0.5550847457627118,0.5750582757696214,0.02520950059592203
71.24476013183593,14.402309262616399,1.6457462787628174,0.400278150879105,0.01,balanced,linear,0.85,5000,5,"(1, 3)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 3)}",0.6126126126126126,0.6746987951807228,0.5773195876288659,0.54,0.6470588235294118,0.6103379637903227,0.048028230238088755,426,0.6540284360189573,0.6778711484593838,0.690537084398977,0.6866485013623979,0.6683417085427136,0.6754853757564859,0.013177962375896808,0.8717948717948718,0.717948717948718,0.717948717948718,0.6923076923076923,0.868421052631579,0.7736842105263158,0.07929161253216105,145,0.8903225806451613,0.7806451612903226,0.8709677419354839,0.8129032258064516,0.8525641025641025,0.8414805624483044,0.03973787000015001,0.4722222222222222,0.6363636363636364,0.4827586206896552,0.4426229508196721,0.515625,0.5099184860190371,0.06739183332452298,450,0.5168539325842697,0.599009900990099,0.5720338983050848,0.5943396226415094,0.5495867768595041,0.5663648262760934,0.03037518740297078
67.68274421691895,12.984943771787247,1.6087830543518067,0.37040765655455077,0.01,balanced,linear,0.85,5000,10,"(1, 2)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 10, 'tfidf__ngram_range': (1, 2)}",0.6226415094339622,0.7111111111111111,0.5544554455445545,0.5607476635514018,0.616822429906542,0.6131556319095143,0.05637554471981665,334,0.6537530266343826,0.6530612244897959,0.6448598130841121,0.6666666666666666,0.6476190476190476,0.653191955698801,0.007515073278793433,0.8461538461538461,0.8205128205128205,0.717948717948718,0.7692307692307693,0.868421052631579,0.8044534412955466,0.0544286441406034,121,0.8709677419354839,0.8258064516129032,0.8903225806451613,0.8451612903225807,0.8717948717948718,0.8608105872622002,0.02264937111023795,0.4925373134328358,0.6274509803921569,0.45161290322580644,0.4411764705882353,0.4782608695652174,0.49820770744085036,0.06716768727503751,457,0.5232558139534884,0.540084388185654,0.5054945054945055,0.5504201680672269,0.5151515151515151,0.526881278170478,0.016349476006328367
72.2836709022522,14.294858172160035,1.751723861694336,0.3348322040505967,0.01,balanced,linear,0.85,5000,10,"(1, 3)","{'clf__C': 0.01, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'tfidf__max_df': 0.85, 'tfidf__max_features': 5000, 'tfidf__min_df': 10, 'tfidf__ngram_range': (1, 3)}",0.6153846153846154,0.6966292134831461,0.5656565656565656,0.5370370370370371,0.6037735849056604,0.6036962032934049,0.05415464490806036,505,0.6553398058252428,0.6492146596858639,0.6731707317073171,0.6563307493540051,0.6463700234192038,0.6560851939983265,0.00931794270090553,0.8205128205128205,0.7948717948717948,0.717948717948718,0.7435897435897436,0.8421052631578947,0.7838056680161943,0.046525639063520786,133,0.8709677419354839,0.8,0.8903225806451613,0.8193548387096774,0.8846153846153846,0.8530521091811416,0.03648651976297941,0.49230769230769234,0.62,0.4666666666666667,0.42028985507246375,0.47058823529411764,0.49397048986818815,0.06724175318071228,469,0.5252918287937743,0.5462555066079295,0.5411764705882353,0.5474137931034483,0.5092250922509225,0.533872538268862,0.014636776182005668
