mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__C,param_clf__class_weight,param_clf__kernel,param_features__text_features__tfidf__max_df,param_features__text_features__tfidf__max_features,param_features__text_features__tfidf__min_df,param_features__text_features__tfidf__ngram_range,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision
7.412304925918579,0.11279623182380719,0.639971923828125,0.0368629610616538,0.1,balanced,linear,0.85,5000,3,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 5000, 'features__text_features__tfidf__min_df': 3, 'features__text_features__tfidf__ngram_range': (1, 2)}",0.5619834710743802,0.5950413223140496,0.631578947368421,0.6017699115044248,0.6050420168067226,0.5990831338135997,0.022322303532731937,127,0.646551724137931,0.680365296803653,0.6787330316742082,0.6623093681917211,0.672645739910314,0.6681210321435654,0.012506158620537283,0.8717948717948718,0.9230769230769231,0.9230769230769231,0.8717948717948718,0.9473684210526315,0.9074224021592443,0.03041201839892744,10,0.967741935483871,0.9612903225806452,0.967741935483871,0.9806451612903225,0.9615384615384616,0.9677915632754341,0.007022639385134954,0.4146341463414634,0.43902439024390244,0.48,0.4594594594594595,0.4444444444444444,0.44751248809785393,0.021728389760838702,133,0.4854368932038835,0.5265017667844523,0.5226480836236934,0.5,0.5172413793103449,0.5103656245844748,0.015410371244523907
8.48897910118103,0.19355460101017471,0.4845019817352295,0.011500454044072366,0.1,balanced,linear,0.85,5000,3,"(1, 3)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 5000, 'features__text_features__tfidf__min_df': 3, 'features__text_features__tfidf__ngram_range': (1, 3)}",0.5573770491803278,0.5950413223140496,0.631578947368421,0.6071428571428571,0.5714285714285714,0.5925137494868453,0.026175032160109423,154,0.6494623655913978,0.6819221967963387,0.6787330316742082,0.6637554585152838,0.6755555555555556,0.6698857216265568,0.011916310200114584,0.8717948717948718,0.9230769230769231,0.9230769230769231,0.8717948717948718,0.8947368421052632,0.8968960863697706,0.022959428143737384,31,0.9741935483870968,0.9612903225806452,0.967741935483871,0.9806451612903225,0.9743589743589743,0.971645988420182,0.0065926764086439715,0.40963855421686746,0.43902439024390244,0.48,0.4657534246575342,0.41975308641975306,0.4428338911076114,0.02666754919937928,157,0.4870967741935484,0.5283687943262412,0.5226480836236934,0.5016501650165016,0.5170068027210885,0.5113541239762146,0.015043876804880525
7.746309852600097,0.2463053483040704,0.519515085220337,0.041212619364401175,0.1,balanced,linear,0.85,5000,5,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 5000, 'features__text_features__tfidf__min_df': 5, 'features__text_features__tfidf__ngram_range': (1, 2)}",0.5573770491803278,0.5950413223140496,0.631578947368421,0.6071428571428571,0.6,0.5982280352011311,0.02397438403708405,130,0.6451612903225806,0.680365296803653,0.6756756756756757,0.6593886462882096,0.6711409395973155,0.6663463697374868,0.012678893255549504,0.8717948717948718,0.9230769230769231,0.9230769230769231,0.8717948717948718,0.9473684210526315,0.9074224021592443,0.03041201839892744,10,0.967741935483871,0.9612903225806452,0.967741935483871,0.9741935483870968,0.9615384615384616,0.9665012406947892,0.004775627483362554,0.40963855421686746,0.43902439024390244,0.48,0.4657534246575342,0.43902439024390244,0.44668815187244126,0.02434462167741192,136,0.4838709677419355,0.5265017667844523,0.5190311418685121,0.49834983498349833,0.5154639175257731,0.5086435257808343,0.015446532201788741
8.421372318267823,0.12739101156172458,0.5249340057373046,0.041566691836914825,0.1,balanced,linear,0.85,5000,5,"(1, 3)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 5000, 'features__text_features__tfidf__min_df': 5, 'features__text_features__tfidf__ngram_range': (1, 3)}",0.5573770491803278,0.5950413223140496,0.631578947368421,0.6126126126126126,0.5811965811965812,0.5955613025343985,0.025505570832756314,139,0.646551724137931,0.680365296803653,0.6756756756756757,0.6652078774617067,0.6755555555555556,0.6686712259269043,0.012120022659823601,0.8717948717948718,0.9230769230769231,0.9230769230769231,0.8717948717948718,0.8947368421052632,0.8968960863697706,0.022959428143737384,31,0.967741935483871,0.9612903225806452,0.967741935483871,0.9806451612903225,0.9743589743589743,0.9703556658395367,0.006599148685691679,0.40963855421686746,0.43902439024390244,0.48,0.4722222222222222,0.43037974683544306,0.446252982703687,0.0262986353899349,145,0.4854368932038835,0.5265017667844523,0.5190311418685121,0.5033112582781457,0.5170068027210885,0.5102575725712164,0.01449633662676043
6.863534355163575,0.2702013854221702,0.5502429962158203,0.04222491690475614,0.1,balanced,linear,0.85,5000,10,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 5000, 'features__text_features__tfidf__min_df': 10, 'features__text_features__tfidf__ngram_range': (1, 2)}",0.5619834710743802,0.5901639344262295,0.6548672566371682,0.6181818181818182,0.6050420168067226,0.6060476994252638,0.03074263363017933,109,0.6357894736842106,0.6772727272727272,0.6564551422319475,0.6369426751592356,0.6681514476614699,0.6549222932019181,0.01653017546594743,0.8717948717948718,0.9230769230769231,0.9487179487179487,0.8717948717948718,0.9473684210526315,0.9125506072874494,0.03450570972091094,1,0.9741935483870968,0.9612903225806452,0.967741935483871,0.967741935483871,0.9615384615384616,0.9665012406947892,0.004775627483362554,0.4146341463414634,0.43373493975903615,0.5,0.4788732394366197,0.4444444444444444,0.45433735399631275,0.030937875635821524,109,0.471875,0.5228070175438596,0.4966887417218543,0.47468354430379744,0.5119453924914675,0.49559993921219575,0.020044713825553326
7.694844770431518,0.1844471473151695,0.5020482063293457,0.018134390822658997,0.1,balanced,linear,0.85,5000,10,"(1, 3)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 5000, 'features__text_features__tfidf__min_df': 10, 'features__text_features__tfidf__ngram_range': (1, 3)}",0.5573770491803278,0.5950413223140496,0.6491228070175439,0.6181818181818182,0.5833333333333334,0.6006112660054146,0.031179617219522716,118,0.6371308016877637,0.6819221967963387,0.6622516556291391,0.6523605150214592,0.6711409395973155,0.6609612217464031,0.015404644926213767,0.8717948717948718,0.9230769230769231,0.9487179487179487,0.8717948717948718,0.9210526315789473,0.9072874493927126,0.030576854394330687,16,0.9741935483870968,0.9612903225806452,0.967741935483871,0.9806451612903225,0.9615384615384616,0.9690818858560795,0.00747322699119842,0.40963855421686746,0.43902439024390244,0.49333333333333335,0.4788732394366197,0.4268292682926829,0.4495397571046812,0.031612578948273275,118,0.47335423197492166,0.5283687943262412,0.5033557046979866,0.4887459807073955,0.5154639175257731,0.5018577258464636,0.019362727948665105
8.235786962509156,0.16337007373851828,0.5121737957000733,0.014286084340250837,0.1,balanced,linear,0.85,10000,3,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 10000, 'features__text_features__tfidf__min_df': 3, 'features__text_features__tfidf__ngram_range': (1, 2)}",0.5619834710743802,0.5785123966942148,0.6324786324786325,0.6071428571428571,0.5862068965517241,0.5932648507883618,0.024397926434204627,151,0.6593886462882096,0.7011764705882353,0.6896551724137931,0.6770601336302895,0.6848072562358276,0.682417535831271,0.01392137415672939,0.8717948717948718,0.8974358974358975,0.9487179487179487,0.8717948717948718,0.8947368421052632,0.8968960863697706,0.028109077164804475,31,0.9741935483870968,0.9612903225806452,0.967741935483871,0.9806451612903225,0.967948717948718,0.9703639371381307,0.006563659801231048,0.4146341463414634,0.4268292682926829,0.47435897435897434,0.4657534246575342,0.4358974358974359,0.4434946499096181,0.022875492774522024,154,0.49834983498349833,0.5518518518518518,0.5357142857142857,0.5170068027210885,0.5298245614035088,0.5265494673348466,0.01800673491788534
9.307189702987671,0.24946177244735326,0.5662684440612793,0.01742036846550666,0.1,balanced,linear,0.85,10000,3,"(1, 3)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 10000, 'features__text_features__tfidf__min_df': 3, 'features__text_features__tfidf__ngram_range': (1, 3)}",0.5573770491803278,0.5737704918032787,0.6324786324786325,0.6,0.5964912280701754,0.5920234803064829,0.025509808908928875,160,0.6608315098468271,0.6978922716627635,0.684931506849315,0.680089485458613,0.6863636363636364,0.682021682036231,0.01209919041877643,0.8717948717948718,0.8974358974358975,0.9487179487179487,0.8461538461538461,0.8947368421052632,0.8917678812415655,0.03395235669315278,52,0.9741935483870968,0.9612903225806452,0.967741935483871,0.9806451612903225,0.967948717948718,0.9703639371381307,0.006563659801231048,0.40963855421686746,0.42168674698795183,0.47435897435897434,0.4647887323943662,0.4473684210526316,0.44356828580215824,0.024669184460070773,151,0.5,0.5477941176470589,0.5300353356890459,0.5205479452054794,0.5316901408450704,0.5260135078773309,0.015680364728810195
7.788945817947388,0.09709744945077207,0.4780763626098633,0.011338389499919858,0.1,balanced,linear,0.85,10000,5,"(1, 2)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 10000, 'features__text_features__tfidf__min_df': 5, 'features__text_features__tfidf__ngram_range': (1, 2)}",0.5573770491803278,0.5785123966942148,0.6371681415929203,0.6126126126126126,0.6050420168067226,0.5981424433773597,0.027666409702879376,133,0.6466809421841542,0.6819221967963387,0.6802721088435374,0.6681318681318681,0.6801801801801802,0.6714374592272156,0.013328375699919286,0.8717948717948718,0.8974358974358975,0.9230769230769231,0.8717948717948718,0.9473684210526315,0.9022941970310392,0.02948771991092611,25,0.9741935483870968,0.9612903225806452,0.967741935483871,0.9806451612903225,0.967948717948718,0.9703639371381307,0.006563659801231048,0.40963855421686746,0.4268292682926829,0.4864864864864865,0.4722222222222222,0.4444444444444444,0.4479241951325408,0.028285470964690095,127,0.483974358974359,0.5283687943262412,0.5244755244755245,0.5066666666666667,0.5243055555555556,0.5135581799996695,0.016593638606108962
8.534537410736084,0.3412097605320428,0.5406570911407471,0.03418752242532052,0.1,balanced,linear,0.85,10000,5,"(1, 3)","{'clf__C': 0.1, 'clf__class_weight': 'balanced', 'clf__kernel': 'linear', 'features__text_features__tfidf__max_df': 0.85, 'features__text_features__tfidf__max_features': 10000, 'features__text_features__tfidf__min_df': 5, 'features__text_features__tfidf__ngram_range': (1, 3)}",0.5573770491803278,0.5737704918032787,0.6428571428571429,0.6055045871559633,0.5932203389830508,0.5945459219959528,0.029219743939969064,142,0.6550976138828634,0.691415313225058,0.6818181818181818,0.6696035242290749,0.6831460674157304,0.6762161401141815,0.012650221072687534,0.8717948717948718,0.8974358974358975,0.9230769230769231,0.8461538461538461,0.9210526315789473,0.8919028340080972,0.029493895479049913,46,0.9741935483870968,0.9612903225806452,0.967741935483871,0.9806451612903225,0.9743589743589743,0.971645988420182,0.0065926764086439715,0.40963855421686746,0.42168674698795183,0.4931506849315068,0.4714285714285714,0.4375,0.4466809115129795,0.03115451859179724,139,0.4934640522875817,0.5398550724637681,0.5263157894736842,0.5083612040133779,0.5259515570934256,0.5187895350663675,0.016135836497004563
