mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_normalizer__technique,param_tfidf__max_features,param_tfidf__min_df,param_tfidf__ngram_range,params,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f2,split1_test_f2,split2_test_f2,split3_test_f2,split4_test_f2,mean_test_f2,std_test_f2,rank_test_f2,split0_train_f2,split1_train_f2,split2_train_f2,split3_train_f2,split4_train_f2,mean_train_f2,std_train_f2,split0_test_wss,split1_test_wss,split2_test_wss,split3_test_wss,split4_test_wss,mean_test_wss,std_test_wss,rank_test_wss,split0_train_wss,split1_train_wss,split2_train_wss,split3_train_wss,split4_train_wss,mean_train_wss,std_train_wss
0.09709110260009765,0.003941882029683834,0.05222482681274414,0.0034496457284038267,CosineSimilarityClassifier(),,5000,3,"(1, 1)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.05,0.0,0.04878048780487805,0.0,0.0,0.01975609756097561,0.024199252204512123,4,0.0375,0.06172839506172839,0.02531645569620253,0.06134969325153374,0.05,0.04717890880189294,0.014086201541119822,1.0,0.0,0.5,0.0,0.0,0.3,0.39999999999999997,1,0.6,0.7142857142857143,0.6666666666666666,0.625,1.0,0.7211904761904762,0.14470315223786143,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.010256410256410256,0.012561485860426554,4,0.01935483870967742,0.03225806451612903,0.012903225806451613,0.03225806451612903,0.02564102564102564,0.024483043837882544,0.007518423883085254,0.03184713375796178,0.0,0.03164556962025317,0.0,0.0,0.012698540675642989,0.015552603182316467,4,0.024,0.03987240829346093,0.016051364365971106,0.03980891719745223,0.03184713375796178,0.030315964722969206,0.009242905092438932,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.7569249629974365,0.02448281231304326,0.13971939086914062,0.004893427809398541,CosineSimilarityClassifier(),,5000,3,"(1, 2)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 5000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.13105397224426268,0.01263268694367694,0.08697671890258789,0.016901621994552505,CosineSimilarityClassifier(),,5000,5,"(1, 1)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 5000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",0.04878048780487805,0.0,0.09523809523809523,0.0,0.0,0.028803716608594654,0.03821402968209764,1,0.06172839506172839,0.0736196319018405,0.05,0.0963855421686747,0.06172839506172839,0.06869239283879439,0.015732693886993606,0.5,0.0,0.6666666666666666,0.0,0.0,0.2333333333333333,0.29059326290271154,4,0.7142857142857143,0.75,0.8,0.7272727272727273,0.8333333333333334,0.7649783549783551,0.04497716750720939,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.015384615384615385,0.020512820512820513,1,0.03225806451612903,0.03870967741935484,0.025806451612903226,0.05161290322580645,0.03205128205128205,0.03608767576509512,0.008770057548049466,0.03164556962025317,0.0,0.06289308176100629,0.0,0.0,0.01890773027625189,0.025177253579330094,1,0.03987240829346093,0.04777070063694268,0.032,0.06339144215530904,0.03968253968253968,0.04454341815365047,0.010662524772269338,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.8596455097198487,0.03171303388524992,0.1212885856628418,0.010589443750885224,CosineSimilarityClassifier(),,5000,5,"(1, 2)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 5000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.17856836318969727,0.01049432407920093,0.09804210662841797,0.006989486886328621,CosineSimilarityClassifier(),,10000,3,"(1, 1)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.05,0.0,0.04878048780487805,0.0,0.0,0.01975609756097561,0.024199252204512123,4,0.0375,0.06172839506172839,0.02531645569620253,0.06134969325153374,0.05,0.04717890880189294,0.014086201541119822,1.0,0.0,0.5,0.0,0.0,0.3,0.39999999999999997,1,0.6,0.7142857142857143,0.6666666666666666,0.625,1.0,0.7211904761904762,0.14470315223786143,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.010256410256410256,0.012561485860426554,4,0.01935483870967742,0.03225806451612903,0.012903225806451613,0.03225806451612903,0.02564102564102564,0.024483043837882544,0.007518423883085254,0.03184713375796178,0.0,0.03164556962025317,0.0,0.0,0.012698540675642989,0.015552603182316467,4,0.024,0.03987240829346093,0.016051364365971106,0.03980891719745223,0.03184713375796178,0.030315964722969206,0.009242905092438932,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.8582086563110352,0.052436813747457525,0.2183828830718994,0.027020996212386822,CosineSimilarityClassifier(),,10000,3,"(1, 2)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 10000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.19233241081237792,0.008070395612454324,0.08042497634887695,0.011042293199075494,CosineSimilarityClassifier(),,10000,5,"(1, 1)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 1)}",0.04878048780487805,0.0,0.09523809523809523,0.0,0.0,0.028803716608594654,0.03821402968209764,1,0.06172839506172839,0.0736196319018405,0.05,0.0963855421686747,0.06172839506172839,0.06869239283879439,0.015732693886993606,0.5,0.0,0.6666666666666666,0.0,0.0,0.2333333333333333,0.29059326290271154,4,0.7142857142857143,0.75,0.8,0.7272727272727273,0.8333333333333334,0.7649783549783551,0.04497716750720939,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.015384615384615385,0.020512820512820513,1,0.03225806451612903,0.03870967741935484,0.025806451612903226,0.05161290322580645,0.03205128205128205,0.03608767576509512,0.008770057548049466,0.03164556962025317,0.0,0.06289308176100629,0.0,0.0,0.01890773027625189,0.025177253579330094,1,0.03987240829346093,0.04777070063694268,0.032,0.06339144215530904,0.03968253968253968,0.04454341815365047,0.010662524772269338,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.9564367771148682,0.05796097126002783,0.16920790672302247,0.01772849713327088,CosineSimilarityClassifier(),,10000,5,"(1, 2)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 10000, 'tfidf__min_df': 5, 'tfidf__ngram_range': (1, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.20364828109741212,0.007568071167836198,0.09884066581726074,0.016768618980151726,CosineSimilarityClassifier(),,20000,3,"(1, 1)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 1)}",0.05,0.0,0.04878048780487805,0.0,0.0,0.01975609756097561,0.024199252204512123,4,0.0375,0.06172839506172839,0.02531645569620253,0.06134969325153374,0.05,0.04717890880189294,0.014086201541119822,1.0,0.0,0.5,0.0,0.0,0.3,0.39999999999999997,1,0.6,0.7142857142857143,0.6666666666666666,0.625,1.0,0.7211904761904762,0.14470315223786143,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.010256410256410256,0.012561485860426554,4,0.01935483870967742,0.03225806451612903,0.012903225806451613,0.03225806451612903,0.02564102564102564,0.024483043837882544,0.007518423883085254,0.03184713375796178,0.0,0.03164556962025317,0.0,0.0,0.012698540675642989,0.015552603182316467,4,0.024,0.03987240829346093,0.016051364365971106,0.03980891719745223,0.03184713375796178,0.030315964722969206,0.009242905092438932,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
0.9940133094787598,0.05171010793760982,0.1376173496246338,0.004176465895285654,CosineSimilarityClassifier(),,20000,3,"(1, 2)","{'clf': CosineSimilarityClassifier(), 'normalizer__technique': None, 'tfidf__max_features': 20000, 'tfidf__min_df': 3, 'tfidf__ngram_range': (1, 2)}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0,25,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,-0.050000000000000044,0.0
